REF_AREA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Denmark,-0.8,0.34,0.31,-0.56,-0.68,0.21,-0.14,0.75,-0.69,0.16,-0.01,-0.79,
Finland,-1.56,0.51,0.54,0.6,-0.65,-0.76,-0.61,-0.42,0.19,0.03,0.43,-0.68,
Iceland,-0.43,-0.03,0.12,0.02,-0.54,0.35,-0.35,-1.19,0.12,0.19,0.68,-0.46,
Norway,-1.7,-0.42,0.13,-0.1,0.46,0.37,-0.55,-1.03,0.01,-0.5,1.18,-2.71,
Sweden,-0.54,-1.27,0.32,0.54,0.05,0.81,-0.57,-0.2,-0.29,0.16,0.38,-1.52,
