TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2000,2.99,6.57,11.18,4.27,5.54
2001,3.06,6.57,10.4,4.3,5.81
2002,3.01,6.79,10.65,3.94,5.83
2003,3.17,7.02,10.43,4.23,5.57
2004,2.99,6.83,9.57,4.3,5.54
2005,2.83,6.13,9.16,4.28,5.26
2006,2.93,6.41,10.67,4.21,4.9
2007,2.83,6.0,11.69,3.83,4.71
2008,2.78,5.71,12.92,4.44,4.7
2009,2.78,5.86,14.52,4.43,4.5
2010,2.89,6.22,15.02,4.58,4.77
2011,2.63,5.83,15.78,3.84,4.52
2012,2.52,5.71,15.24,4.17,4.59
2013,2.5,5.67,15.2,4.37,4.48
2014,2.32,5.81,14.89,3.75,4.25
2015,2.25,5.5,13.58,3.81,3.76
2016,2.24,5.55,12.05,3.56,3.96
2017,2.19,5.34,12.18,3.72,3.97
2018,2.14,5.37,12.73,3.65,3.97
2019,2.01,5.19,12.26,3.37,3.79
2020,1.96,5.07,12.89,3.36,3.56
