TIME_PERIOD,Europe and Northern America,Northern Africa and Western Asia,Sub-Saharan Africa,Central and Southern Asia,Eastern and South-Eastern Asia,Oceania,Latin America and the Caribbean
2001,,,14.9,25.6,,,4.6
2006,,,12.1,21.3,,,4.9
2011,,,14.2,17.0,,,5.1
2016,,,12.7,12.0,,,4.9
2021,,,10.8,7.0,,,4.0
