COMPOSITE_BREAKDOWN,Denmark,Finland,Iceland,Norway,Sweden
ABT2_ACHIEVE,,1.0,,,
ABT2_INSUFNT,,,,,1.0
ABT2_NONTLT,1.0,,1.0,1.0,
