REF_AREA,2000,2005,2010,2015,2017,2019,2021
Denmark,72,74,77,80,81,82,82
Finland,75,81,84,86,85,85,86
Iceland,78,83,85,87,87,89,89
Norway,72,81,84,86,86,86,87
Sweden,72,76,81,84,85,85,85
