TIME_PERIOD,World,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,14.12477,14.70569,18.48635,23.88182,24.97753,4.22625,3.85686,20.64749,18.84327
2010,16.81064,18.14198,23.0606,24.35004,29.9648,5.94641,3.86737,24.2162,23.89
2015,17.48027,19.21489,24.33883,26.09773,30.47774,6.27055,3.90612,24.94765,24.42566
2016,17.65969,19.33492,24.54154,26.09869,30.78388,6.44908,3.90612,24.94863,24.69426
2017,17.70139,19.33492,24.65849,26.09523,30.80837,6.45596,3.90612,25.02582,24.96718
2018,17.75244,19.33492,24.72459,26.09325,31.02531,6.46133,3.90612,25.12431,24.99261
2019,17.76419,19.33492,24.73768,25.93167,31.1791,6.46741,3.90612,25.22286,25.01691
2020,17.8123,19.33492,24.85883,26.0589,31.27058,6.47284,3.90612,25.32081,25.04121
Pct_change 2010-2020,5.958488195571383,6.5755777484045295,7.797845676174949,7.017894015779856,4.357713049978637,8.852904525587698,1.0019729169952665,4.561450599185672,4.818794474675592
