TIME_PERIOD,Europe and Northern America,Northern Africa and Western Asia,Sub-Saharan Africa,Central and Southern Asia,Eastern and South-Eastern Asia,Oceania,Latin America and the Caribbean
2000,95.9,49.3,31.0,52.5,66.9,70.2,63.8
2001,96.0,50.6,31.6,53.9,68.2,70.9,65.1
2002,96.1,52.2,32.3,55.3,69.4,71.5,66.3
2003,96.3,54.2,33.0,56.5,70.8,71.9,67.6
2004,96.5,56.2,33.7,57.7,72.2,72.3,68.8
2005,96.7,58.1,34.6,59.2,73.7,72.6,70.0
2006,96.8,59.9,35.4,60.7,75.2,73.0,71.2
2007,97.0,61.2,36.1,62.4,76.7,73.5,72.1
2008,97.1,62.4,36.8,64.1,78.2,73.9,72.9
2009,97.2,63.3,37.5,65.7,79.7,74.0,73.7
2010,97.3,64.0,38.2,67.4,81.0,74.0,74.3
2011,97.4,64.9,39.0,69.0,82.1,74.0,75.0
2012,97.5,65.8,39.6,70.5,83.0,74.1,75.8
2013,97.6,66.7,40.3,71.9,83.8,74.0,76.7
2014,97.7,67.6,40.8,73.2,84.6,73.8,77.6
2015,97.8,68.6,41.4,74.2,85.3,73.5,78.5
2016,97.8,69.4,41.9,75.3,85.8,73.3,79.4
2017,97.8,70.2,42.5,76.3,86.3,73.1,80.3
2018,97.9,70.9,43.2,77.2,86.7,73.3,81.2
2019,98.0,71.5,43.8,78.1,87.2,73.3,82.0
2020,98.0,72.1,44.5,79.0,87.6,73.5,82.7
