SERIES,Denmark,Finland,Iceland,Norway,Sweden
Basel Convention,80.0,100.0,80.0,80.0,80.0
Minamata Convention,66.67,66.67,33.33,33.33,66.67
Montreal Protocol,100.0,100.0,100.0,100.0,100.0
Rotterdam Convention,96.55,96.55,,93.1,96.55
Stockholm Convention,100.0,62.5,75.0,87.5,87.5
