Year,Denmark,Finland,Iceland,Norway,Sweden
1990,13.894,14.242,14.42,12.126,8.347
1991,15.92,13.748,13.421,11.504,8.319
1992,14.704,13.39,12.907,11.051,8.216
1993,15.069,13.769,13.079,11.441,8.202
1994,15.774,14.808,12.691,11.815,8.429
1995,15.145,14.024,13.109,11.844,8.311
1996,17.55,15.148,13.252,12.442,8.745
1997,15.691,14.85,13.761,12.379,8.174
1998,14.88,14.094,14.142,12.312,8.22
1999,14.36,13.94,14.77,12.457,7.867
2000,13.509,13.549,14.65,12.23,7.703
2001,13.785,14.546,14.076,12.449,7.774
2002,13.628,14.978,14.266,12.122,7.829
2003,14.538,16.407,14.041,12.183,7.84
2004,13.392,15.651,14.27,12.198,7.745
2005,12.545,13.315,13.544,11.884,7.401
2006,13.929,15.42,15.172,11.787,7.317
2007,13.026,15.044,15.748,12.02,7.141
2008,12.296,13.45,16.698,11.562,6.828
2009,11.723,12.698,15.602,10.908,6.311
2010,11.727,14.096,15.296,11.237,6.9
2011,10.74,12.589,14.565,10.9,6.389
2012,9.879,11.505,14.508,10.643,6.041
2013,10.148,11.532,14.396,10.565,5.817
2014,9.352,10.72,14.239,10.519,5.563
2015,8.827,10.032,14.346,10.499,5.521
2016,9.112,10.53,13.989,10.234,5.412
2017,8.686,9.995,13.911,10.013,5.28
2018,8.629,10.176,13.742,9.953,5.125
2019,7.936,9.551,13.071,9.553,4.943
2020,7.46,8.629,12.306,9.159,4.47
