TIME_PERIOD,World,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
CAGR 1990-2010,-1.2,-1.2,-1.5,-0.9,-0.5,-1.8,-1.0,-0.1,-1.1
CAGR 2010-2020,-1.95,-2.13,-2.16,-1.12,-1.14,-2.2,0.25,-0.79,-2.57
