SERIES,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Inforce,0,0,0,5,10,16,19,27,31,37,40,40,42,44,47,47,49,50,52,57,59,61,63,66,69,69,72,75,78,80,85,90,106,113,122,131,137,144,156,159,162,164,166,166,168,170,171,172,172,172,173,173,173,173,173,173,173,174,176,176,176,176,176
Signed,2,3,9,17,21,26,33,39,41,44,46,48,49,50,52,54,56,59,62,64,65,68,70,75,77,79,81,83,85,90,99,112,122,130,139,151,161,164,166,171,173,173,173,175,176,177,177,177,177,177,179,179,179,179,179,179,180,181,183,183,183,183,183
