TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2007,17.0,5.0,,203.0,
2008,28.0,16.0,,256.0,21.0
2009,47.0,17.0,,292.0,44.0
2010,53.0,49.0,,127.0,14.0
2011,60.0,54.0,,134.0,10.0
2012,66.0,50.0,,136.0,33.0
2013,76.0,58.0,,124.0,
2014,71.0,45.0,,324.0,
2015,93.0,54.0,,301.0,
2016,121.0,134.0,,262.0,
2017,98.0,131.0,19.0,,12.0
2018,97.0,163.0,9.0,106.0,19.0
2019,64.0,229.0,7.0,241.0,
2020,77.0,247.0,16.0,254.0,7.0
2021,,243.0,,,
