PRODUCT,Least Developed Countries,Developing regions
Agricultural products,73.5902,55.3874
Arms,54.5455,44.4726
Clothing,47.7811,39.5685
Industrial products,69.6236,57.0571
Oil,73.913,76.3303
Textiles,60.7638,47.0513
