TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,12.7,14.7,9.4,5.4,20.3,5.0,4.4,12.4
2005,11.5,13.5,8.7,5.5,19.0,5.0,4.1,11.6
2010,11.8,12.6,8.4,5.7,16.9,5.1,4.1,9.9
2015,13.0,10.8,7.5,6.0,16.0,5.3,3.9,8.1
2019,12.3,10.9,7.1,6.2,14.9,5.2,3.8,7.8
