REF_AREA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Denmark,,68.0,72.0,75.0,66.0,55.0,16.0,36.0,54.0,62.0,70.0
Finland,,,,,,,,,62.0,60.0,
Iceland,,,92.0,90.0,89.0,88.0,91.0,89.0,85.0,93.0,91.0
Norway,57.0,72.0,73.0,75.0,80.0,82.0,84.0,85.0,86.0,91.0,90.0
Sweden,,,,,,,73.0,72.0,75.0,80.0,82.0
