TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2018,26.1,31.8,41.5,35.6,38.1
2019,26.8,36.9,41.9,34.5,40.3
2020,27.9,37.5,38.6,34.1,42.3
2021,28.2,36.5,37.6,33.5,43.0
