TIME_PERIOD,World,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2010,-0.13,-0.16,0.3,-0.49,-0.55,0.1,-0.01,-0.02,0.41
2020,-0.12,0.32,0.29,-0.6,-0.29,0.02,-0.07,-0.06,0.15
