TIME_PERIOD,World,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2020,55.50296,78.83994,25.46304,27.59818,40.84037,80.44318,,62.69498,65.47466
2022,57.79183,92.22244,23.99078,20.08288,45.91679,86.47508,14.84947,63.77148,62.63486
