SERIES,Denmark,Finland,Iceland,Norway,Sweden
ER_IAS_GLOFUN,0.0,0.0,,0.0,0.0
ER_IAS_LEGIS,1.0,1.0,1.0,1.0,1.0
ER_IAS_NATBUD,1.0,1.0,,1.0,1.0
ER_IAS_NBSAP,1.0,1.0,0.0,1.0,1.0
