SERIES,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Freshwater KBAs,28.11752,29.55632,30.40117,31.21487,34.54227,35.63646,36.51009,37.91153,38.84229,39.46406,39.9609,40.44435,41.01049,41.56701,41.9946,42.36387,42.69907,43.17124,43.89336,44.2679,44.42329,44.46154,44.47867
Terrestial KBAs,26.7309,28.18088,29.01997,29.76028,32.06474,33.12303,34.5405,36.34226,37.34914,38.24762,39.10761,39.73573,40.31622,41.0606,41.69931,42.15049,42.56249,42.91801,43.59335,44.01417,44.24714,44.28733,44.3012
