TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2004,60.9,55.0,65.2,46.9,55.6
2005,60.3,55.6,69.4,44.9,56.0
2006,60.4,56.9,70.9,44.2,55.1
2007,61.0,55.3,71.2,46.6,55.4
2008,61.3,56.3,63.2,46.4,56.0
2009,63.6,60.2,54.8,51.9,54.6
2010,59.9,58.9,57.0,49.1,53.7
2011,60.8,58.7,60.3,46.9,53.5
2012,59.7,58.5,62.3,46.7,57.3
2013,59.2,58.1,63.2,48.7,57.9
2014,58.6,57.1,63.4,50.3,56.7
2015,58.5,57.6,61.3,52.0,55.3
2016,57.9,55.8,60.5,53.8,55.2
2017,56.9,54.1,61.5,51.8,54.4
2018,56.2,54.3,62.0,50.2,54.7
2019,57.5,54.3,62.4,53.3,53.6
2020,58.0,53.8,66.3,54.8,55.8
