COMPOSITE_BREAKDOWN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Abnormal: High food prices,7.3,5.8,6.3,2.1,10.5,6.3,6.3,2.1,6.8,20.4,8.4
Moderate: Moderately high food prices,13.1,11.5,11.0,6.3,12.0,7.3,9.4,3.7,11.5,27.7,13.1
