REF_AREA,Flags,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Denmark,:dk:,0.07,0.02,,0.03,0.04,0.05,0.05,0.05,0.05,0.05,0.07,0.06,0.05,0.05,0.06,0.04,0.04,0.03,0.04
Finland,:fi:,0.02,0.02,0.02,0.02,,,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.04,0.04,0.03,0.02,0.02
Iceland,:is:,,,,,,,,,,,,0.04,0.05,0.06,0.06,0.06,0.05,0.04,0.05
Norway,:no:,0.03,0.05,0.05,0.04,0.06,0.07,0.06,0.07,0.07,0.09,0.07,0.06,0.05,0.05,0.06,0.08,0.11,0.1,0.09
Sweden,:se:,0.04,0.04,0.03,0.04,0.05,0.04,0.05,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.03,0.03,0.04,0.06
