TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,10.3,16.3,30.1,17.6,15.6,16.9,20.4
2005,8.6,17.0,29.0,18.4,15.0,17.1,19.5
2010,7.0,17.4,27.7,19.1,10.6,17.6,18.9
2015,5.6,15.6,26.9,18.3,9.5,17.7,17.2
2019,5.7,15.5,27.5,17.3,8.6,17.1,16.6
