SERIES,Denmark,Finland,Iceland,Norway,Sweden
BN_CAB_XOKA_GD_ZS,8.13069,0.94525,0.91998,0.71696,5.70792
BN_KLT_PTXL_CD,-3415440034.85996,-438595277.16619,875040677.98617,5253785868.54788,12471099865.4005
BX_KLT_DINV_WD_GD_ZS,0.44448,-0.87868,-4.72547,-1.05073,5.25405
DP_DOD_DLD2_CR_CG_Z1,33.1085,57.50004,75.18723,19.86323,24.4057
FB_BNK_CAPA_ZS,6.63498,6.84524,15.74021,,6.2617
FI_RES_TOTL_MO,4.58668,1.41871,10.14388,6.45877,2.76557
FM_LBL_BMNY_IR_ZS,3.32577,,2.43065,3.7183,8.23637
FM_LBL_BMNY_ZG,9.83954,,7.36536,12.15814,18.13369
FP_CPI_TOTL_ZG,0.42071,0.29055,2.84792,1.28658,0.49737
GC_BAL_CASH_GD_ZS,2.26545,-1.4078,-2.47352,4.98832,-0.45154
GC_TAX_TOTL_GD_ZS,34.28476,20.67066,21.77638,23.16489,27.30093
NE_CON_GOVT_KD_ZG,-1.70334,0.24915,4.45707,1.82648,-1.27586
NE_CON_PRVT_KD_ZG,-1.32051,-4.73664,-3.00727,-6.56915,-4.6814
NE_EXP_GNFS_KD_ZG,-7.00672,-6.77115,-30.1908,-1.22482,-4.61677
NE_GDI_TOTL_KD_ZG,4.51319,-1.02668,-7.79105,-6.55892,-2.93238
NE_IMP_GNFS_KD_ZG,-4.07974,-6.50897,-22.46504,-11.93572,-5.56604
NY_GDP_MKTP_KD_ZG,-2.06212,-2.80014,-6.50391,-0.71718,-2.94813
PA_NUS_ATLS,6.54215,0.87551,135.42171,9.41583,9.21031
TG_VAL_TOTL_GD_ZS,57.80504,49.82514,47.35226,45.5292,56.44303
