REF_AREA,1995,2000,2005,2010,2012,2014,2016,2017,2018,2019,2020,2021
Denmark,1474,1474,1474,1474,1474,1474,1474,1474,1043,1043,1043,1043
Finland,932,939,990,1050,1076,1083,655,656,703,694,713,728
Norway,491,605,748,952,982,1203,1392,1501,1690,1957,2059,2059
Sweden,247,247,250,276,307,308,312,312,448,448,448,448
