REF_AREA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Denmark,13.0,11.0,8.6,8.3,7.6,8.4,7.2,7.5,6.9,6.1,6.9,7.4,7.0,6.7,5.9,6.5,5.9,5.1,5.4,5.2,4.9
Finland,12.0,10.0,9.9,8.7,7.0,7.4,6.1,6.5,7.2,8.7,6.6,6.7,5.5,5.6,5.3,5.6,4.7,4.9,4.8,4.7,3.6
Iceland,5.3,4.9,3.2,2.0,4.3,3.9,5.0,4.5,2.2,3.3,7.9,2.8,3.5,3.9,2.8,2.4,2.1,4.5,2.7,4.4,2.8
Norway,5.6,7.0,6.1,8.4,7.1,6.9,6.8,6.9,7.2,7.8,6.9,7.4,7.9,8.2,6.8,6.3,6.1,5.1,4.1,3.3,3.1
Sweden,5.4,5.1,4.8,5.1,5.5,6.9,6.2,5.8,6.4,7.1,7.5,6.5,7.1,7.3,7.5,9.2,8.2,5.7,5.5,5.5,3.6
