TIME_PERIOD,World,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2005,3.22516,2.56939,12.78532,8.2656,4.98112,1.92394,8.61439,5.05828,3.54667
2010,2.53431,2.55329,7.64955,8.04303,5.14488,1.19059,6.28662,5.01944,3.2234
2015,2.55065,1.70286,8.73295,7.44276,4.13646,1.15716,7.11064,4.17204,3.32835
2016,2.98067,0.67045,8.12431,6.82433,3.75663,1.77469,11.10078,4.33106,2.5178
2017,2.17685,0.82194,7.21324,7.09036,3.73586,1.10484,11.91677,3.72948,2.70051
2018,2.13856,0.74944,7.15814,7.09513,3.63308,1.09681,11.59783,3.84621,2.59808
2019,2.02506,0.69363,8.09232,6.85437,3.4534,1.03711,12.58273,3.93853,2.21328
2020,1.90653,0.65021,6.80385,7.36891,3.36029,1.0024,9.94871,3.65866,2.20654
