TIME_PERIOD,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2015,29,27,166,14,69,43
2016,36,19,223,6,64,40
2017,43,16,198,5,44,64
2018,50,19,290,14,50,53
2019,28,16,246,3,18,46
2020,8,43,290,2,19,31
2021,51,18,216,2,5,27
