SERIES,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Local government,,,,,,,,,,,,,,,,,,,,,33.88801,33.92028,34.28281,35.47268
National parliaments,13.34,13.79,14.21,15.12,15.21,15.91,16.57,17.14,17.99,18.51,19.03,19.34,19.6,20.76,22.06,22.27,22.74,23.39,23.43,24.3,24.93,25.61,26.22,26.54
