Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Denmark,0.3,0.5,0.4,0.4,0.5,0.3,0.5,0.4,0.3,0.2,0.2,0.1,0.2,0.1
Finland,0.4,0.3,0.5,0.3,0.6,0.3,0.4,0.4,0.3,0.1,0.2,0.1,0.1,0.1
Iceland,,,,,0.6,0.6,0.9,0.9,0.9,0.0,0.9,1.5,1.1,0.3
Norway,3.2,2.6,2.2,1.2,0.6,1.1,0.9,0.6,0.4,0.4,0.4,0.4,0.2,0.4
Sweden,1.8,2.2,1.9,1.2,1.3,1.0,0.9,0.8,1.1,1.5,1.0,0.8,0.4,0.3
