Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Denmark,7.89,7.59,6.52,6.0,5.63,5.58,5.95,5.66,6.03,5.46,5.0,4.56,4.41,4.24,3.64,3.4,3.53,2.78,2.43,2.02,1.64,1.31
Finland,9.96,10.61,11.17,10.34,10.61,10.28,9.44,9.1,8.63,8.48,8.42,7.7,7.51,7.31,7.24,6.15,5.5,4.87,4.32,4.1,3.86,3.7
Iceland,22.87,19.61,18.48,16.13,12.48,14.19,13.64,14.11,14.48,14.6,13.0,10.96,11.42,7.35,7.64,8.03,6.65,6.01,5.33,4.39,4.75,3.25
Norway,11.74,11.04,10.06,9.06,8.16,8.05,8.72,9.09,9.3,9.51,8.43,7.1,6.04,5.65,5.02,4.58,3.88,2.99,2.54,2.26,1.64,1.69
Sweden,7.03,6.6,6.62,5.99,5.81,5.89,5.93,5.9,5.92,5.88,5.9,5.87,5.33,5.31,5.01,4.45,4.44,4.33,4.21,3.38,2.84,2.43
