REF_AREA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Denmark,8.58,8.6,8.52,8.53,8.57,8.56,8.5,8.39,8.21,8.06,8.18,8.0,7.94,7.79,7.67,7.6,7.44,7.22,7.24,,
Finland,8.5,8.77,8.65,8.5,8.13,8.05,7.85,7.81,7.53,7.43,7.89,7.78,7.4,7.26,7.3,10.45,10.54,10.59,10.76,,
Iceland,10.09,10.07,10.1,10.0,9.86,9.8,9.54,9.63,9.68,9.3,9.34,8.75,8.29,8.31,8.34,8.42,8.37,8.34,8.58,8.41,8.5
Norway,8.02,8.02,8.08,8.12,8.03,8.42,8.79,8.7,8.78,8.69,8.79,8.85,8.66,8.73,8.65,8.8,8.89,8.95,8.7,9.01,9.04
Sweden,8.07,8.12,8.18,8.16,8.28,8.22,8.29,8.28,8.14,8.07,8.1,8.17,8.19,8.16,8.15,8.2,8.22,8.26,8.24,,
