TIME_PERIOD,World,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2018,3.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0
2020,4.0,5.0,4.0,3.0,4.0,5.0,2.0,4.0,5.0
2022,4.0,,3.0,3.0,4.0,5.0,4.0,4.0,4.0
