TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2000,0.48862,0.89069,0.6138,,0.46094
2001,0.4686,0.8861,0.57377,,0.44648
2002,0.4523,0.87318,0.54052,,0.43772
2003,0.44915,0.89625,0.55258,,0.4375
2004,0.46417,0.87078,0.56525,,0.40953
2005,0.48077,0.86243,0.53731,,0.46395
2006,0.46022,0.8668,0.58805,0.3172,0.43373
2007,0.44539,0.83884,0.5043,0.30723,0.39194
2008,0.43625,0.84264,0.4627,0.36179,0.41673
2009,0.37207,0.75549,0.37408,0.3409,0.3694
2010,0.34744,0.78972,0.38998,0.3584,0.39087
2011,0.38021,0.77933,0.38132,0.36215,0.38747
2012,0.36183,0.75844,0.40388,0.37416,0.40492
2013,0.36433,0.86797,0.33601,0.37115,0.40372
2014,0.36156,0.72665,0.34178,0.35457,0.40074
2015,0.36188,0.7135,0.39896,0.40333,0.38453
2016,0.36066,0.71842,0.3771,0.32836,0.38339
2017,0.37176,0.73086,0.41399,0.31545,0.40032
2018,0.36204,0.75788,0.4838,0.34483,0.41919
2019,0.34248,0.68479,0.43288,0.3408,0.40842
