REF_AREA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Denmark,4.08,4.35,4.39,4.47,4.35,4.6,4.58,4.55,4.52,4.54,4.73,4.82,4.98,5.07,5.1,5.16,5.22,5.34,5.43,4.45,,
Finland,15.43,15.72,15.97,16.46,10.2,9.97,10.03,10.16,10.01,10.02,10.05,9.99,10.32,10.31,10.19,10.03,10.14,10.27,10.32,19.82,20.12,
Iceland,9.59,9.89,10.84,10.94,10.98,11.18,11.35,5.13,5.16,5.11,4.87,4.92,4.64,4.72,4.67,4.83,4.95,4.98,5.16,5.38,5.67,
Norway,,,4.82,5.06,5.11,5.25,5.52,5.7,6.06,6.25,6.38,6.45,6.71,6.9,7.22,7.45,7.85,8.06,8.32,8.58,8.83,9.14
Sweden,7.3,7.39,7.42,7.47,7.62,7.64,7.66,7.81,7.75,7.54,7.62,7.7,7.67,7.55,7.59,7.65,7.69,7.7,7.9,7.95,16.12,
