REF_AREA,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Denmark,0.08,0.17,0.18,0.14,0.2,0.21,0.18,0.32,0.39,0.2,0.29,0.21,0.23,0.22,0.28,0.29,0.23,0.31,0.28,0.36,0.71
Finland,0.86,0.88,0.91,0.94,1.02,1.18,0.9,0.9,0.84,0.78,0.8,0.73,0.65,0.61,0.6,0.58,0.57,0.55,0.55,0.52,0.57
Iceland,0.49,0.46,0.53,0.58,0.68,0.51,0.56,0.36,0.41,0.36,0.36,0.37,0.37,0.38,0.37,0.38,0.47,0.43,0.36,0.33,0.32
Norway,1.43,1.44,1.51,1.29,1.17,1.1,1.18,1.32,1.11,0.92,1.03,1.21,1.03,0.89,0.8,0.57,0.6,0.7,0.64,0.43,0.71
Sweden,0.17,0.19,0.19,0.17,0.34,0.28,0.2,0.24,0.25,0.22,0.21,0.21,0.22,0.21,0.18,0.19,0.18,0.22,0.21,0.17,0.21
