SERIES,2005,2010,2015,2016,2017,2018,2019,2020,2021
Most-favoured-nation status,4.57026,3.48113,3.75218,3.42458,3.43391,3.41361,3.31508,3.2197,3.25338
Preferential status,3.22516,2.53431,2.55065,2.33908,2.17685,2.13856,2.02506,1.90653,1.88328
