Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Denmark,9.343304527938,8.0572615181451,8.6246175270856,8.0245089307026,6.8363210588331,6.1167109096436,5.6379974496353,7.4535292644652,7.4144539117727,5.4976448125911,4.6072641559546,3.9563876598111,2.9925548103437,3.4091144370106,3.234270472088,3.1450346881424,3.6970513474876,3.04412996939,2.9578685357167,3.427440988164,2.7993583115095,2.2260102447841
Finland,7.6576459854791,8.3572744476816,7.9886026701953,7.2796489634183,7.1842768939095,7.2375053254863,6.3932049364675,7.2011226171154,6.4899733684697,5.2381440523409,5.0827564311351,5.4322791983147,4.7211145088736,4.754293329579,4.2008559473297,4.9344332611505,4.7017590410453,4.3245741929763,4.3351054664047,3.8239053527245,4.0359857904342,4.0297857184033
Iceland,11.467520041283,8.4697611880252,10.119514961179,7.9730718165777,7.9154764772688,6.4718966404044,10.337089142388,4.8753217712369,3.8039808659762,5.3230129505774,2.5186537795548,3.7682288068532,2.8162403191739,4.6604547982489,1.2282334011932,4.8617441507141,5.4130617179254,4.7288450682579,5.1657339647008,1.6807146398649,2.1969934145122,2.440400008677
Norway,7.6141616260991,6.1064484984354,6.8964511127822,6.1947361437811,5.6363172827183,4.8411295418967,5.2152710895757,4.9774264099255,5.3829595765067,4.4173550378267,4.2814219837434,3.4144224799072,2.9082186258366,3.702035624669,2.8772438587481,2.2648951701982,2.589190417694,2.0158541221459,2.0394216426824,2.0269463752568,1.7326243856636,1.4838531734704
Sweden,6.6693554739384,6.2367778058971,5.9714037108907,5.8607809512987,5.3477901928213,4.8827084650185,4.9183487787906,5.1682949356086,4.323240291467,3.8676164581989,2.847757797557,3.3880051871528,3.0054239994179,2.7208341491475,2.7994173894002,2.6571310883824,2.7408337636612,2.521222036321,3.2015044699524,2.1602737389402,1.9752916193702,1.9365477135008
