REF_AREA,2000,2003,2006,2009,2012,2015,2018
Denmark,86.1676,84.5929,86.36603,82.9464,83.15936,86.42804,85.42881
Finland,92.0814,93.24083,94.04778,92.15396,87.73212,86.43602,85.02447
Iceland,87.19275,84.99815,83.18169,83.04626,78.5238,76.38493,79.31081
Norway,80.85548,79.15894,77.76227,81.82223,77.69096,82.92348,81.13407
Sweden,83.29255,82.72571,81.6871,78.9245,72.92809,79.16254,81.19205
